date,aave,compound,venus_finance,morpho_blue,banker_joe,spark,kamino,benqi,maple,euler,iron_bank,jupiter,fluid,blizz_protocol,moonwell,radiant_capital,zerolend,neverland,hyperlend,lista_dao,kinza_finance,uwulend,cream_finance,hypurrfi,seamless_protocol,mendi_finance,annex_finance,atlantis_loans,dolomite,ola_finance,granary_finance,strike,reserve_lending,lodestar_finance,percent_finance,hundred_finance,sake_finance,fortress_protocol,nereus_finance,easy_finance,rho_markets,realt,sturdy,channels_finance,tender_finance,extra_finance,enclabs_protocol,agave_finance,lore_finance,centrifuge,vicuna_lending,machfi,apple_lending,portler,native_lend,hopelend,goldbank_finance,lendora_protocol,hyperdrive,aquarius_loan,shroomy_protocol,neku,paribus,zeno_lend,filda,power_pool,curvance,total
2020-08-01,236428880.557209,274599357.216874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.024868,0,511028347.798951
2020-09-01,377057083.814635,232707324.889835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71839952.538056,0,0,0,0,0,0,0,0,0,0,0,9.909249,0,0,0,0,5094915.852632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3731.830314,0,686703018.834720
2020-10-01,194322019.521125,347743131.294454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7340666.700674,0,0,0,0,0,0,0,0,0,0,0,75915428.583625,0,0,0,0,34306493.844618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659627739.944496
2020-11-01,329245472.707763,873089739.439304,46117368.478191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6197946.068072,0,0,0,0,0,0,0,0,0,0,0,5211562.491894,0,0,0,0,29098.832311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259891188.017535
2020-12-01,321792892.496119,904029920.588086,119474831.810483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2893471.814956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054.627781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348195171.337425
2021-01-01,561449180.166327,3192780710.385116,865503880.260710,0,0,0,0,0,0,0,31.379951,0,0,0,0,0,0,0,0,0,0,0,7610894.304455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9281.540392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4627353978.036952
2021-02-01,791770980.479161,3794256646.978083,0,0,0,0,0,0,0,0,147524084.343198,0,0,0,0,0,0,0,0,0,0,0,14195858.419540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38803.172742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4747786373.392723
2021-03-01,981632903.157954,2862026746.309215,0,0,0,0,0,0,0,0,9401958.382363,0,0,0,0,0,0,0,0,0,0,0,17139701.872276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183990.123114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871385299.844922
2021-04-01,4331734232.346080,4166340113.659884,111902742.293281,0,0,0,0,0,0,0,141191028.696703,0,0,0,0,0,0,0,0,0,0,0,26832151.380644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5127727.075474,0,1785545.165322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8784913540.617386
2021-05-01,14356484247.558958,4331513988.389209,2302061695.115460,0,0,0,0,0,0,0,1005522331.507512,0,0,0,0,0,0,0,0,0,0,0,31766578.072389,0,0,0,0,0,0,0,0,67035.868056,77983386.958080,0,0,0,0,21531275.615789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22126930539.085449
2021-06-01,8620664383.237680,3355043735.666378,300366654.402859,0,0,0,0,0,0,0,826995033.226649,0,0,0,0,0,0,0,0,0,0,0,12609142.343276,0,0,0,0,0,0,0,0,3707493.433638,3427226.880375,0,0,0,0,13043569.234458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721948.696212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13137579187.121529
2021-07-01,4918001961.847945,3444826324.615908,401431232.553082,0,0,0,0,0,0,0,947775504.126864,0,0,0,0,0,0,0,0,0,0,0,6797789.459577,0,0,0,0,0,0,0,0,1967821.504490,1072469.969943,0,0,0,0,2868481.940400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585353.285339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9727326939.303549
2021-08-01,5861913496.595754,2575294392.438552,341164398.410609,0,0,0,0,304041633.366452,0,0,1555433569.567023,0,0,0,0,0,0,0,0,0,0,0,10521247.987897,0,0,0,20.059053,0,0,0,0,5329549.439518,2085332.220751,0,0,0,0,1471642.130019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.903577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10657255418.119204
2021-09-01,5198709337.469571,2114301168.861169,300774396.453915,0,0,0,0,1178832367.704818,0,0,959123204.623365,0,0,0,0,0,0,0,0,0,0,0,11206718.719899,0,0,0,80435652.199813,0,0,0,0,264320.224455,243420.850440,0,0,1445292.688958,0,501021.957248,0,0,0,0,0,5360227.583689,0,0,0,2558.059147,0,0,0,0,492.455620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9851200179.852108
