day,aave,compound,morpho_blue,venus_finance,maple,fluid,euler,benqi,iron_bank,reserve_lending,spark,lodestar_finance,radiant_capital,banker_joe,blizz_protocol,moonwell,uwulend,strike,percent_finance,lista_dao,seamless_protocol,hyperlend,kinza_finance,apple_lending,hundred_finance,annex_finance,cream_finance,centrifuge,ola_finance,atlantis_loans,hypurrfi,sturdy,nereus_finance,granary_finance,easy_finance,fortress_protocol,tender_finance,hopelend,neku,zerolend,extra_finance,goldbank_finance,sake_finance,channels_finance,paribus,portler,native_lend,aquarius_loan,filda,mahalend,avalon_finance,total
2020-12-01,8826390471.234863,19955493028.556393,0,879381379.111257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183906409.666883,0,0,0,0,0,0,0,22558366.318436,0,0,0,0,0,0,0,264106.186471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29867993761.074299
2021-01-01,10319185117.433941,32439316215.699497,0,845122991.600851,0,0,0,0,31.008116,0,0,0,0,0,0,0,0,0,183906409.666883,0,0,0,0,0,0,0,33425174.039637,0,0,0,0,0,0,0,120362.149641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43821076301.598572
2021-02-01,14631699007.952333,44630153140.700027,0,5426413879.412021,0,0,0,0,1050132210.502943,0,0,0,0,0,0,0,0,0,166109015.182991,0,0,0,0,0,0,0,59398746.953639,0,0,0,0,0,0,0,235389.598818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65964141390.302765
2021-03-01,25731940965.061554,74740203731.569000,0,22124726217.504051,0,0,0,0,585844907.962998,0,0,0,0,0,0,0,0,0,183906409.666883,0,0,0,0,0,0,0,92557608.158033,0,0,0,0,0,0,0,1546053.871976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123460725893.794510
2021-04-01,43479675708.967949,107316834973.203247,0,38147158615.901413,0,0,0,0,2860096215.715985,0,0,0,0,0,0,0,0,0,177973944.838919,0,0,0,0,0,0,0,187984154.722173,0,0,0,0,0,0,0,9820306.553839,8902084.987511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192188446004.891052
2021-05-01,140232830529.011505,106256206394.501877,0,21632508853.147308,0,0,0,0,6381745979.489650,509063856.094111,0,0,0,0,0,0,0,320676.571582,183906409.666883,0,0,0,0,0,0,0,233403012.206315,0,0,0,0,0,0,0,9127517.113619,118916391.299464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275558029619.102295
2021-06-01,160700612860.167633,67335310864.735199,0,7314428546.354532,0,0,0,0,8974080645.011530,279820568.036841,0,0,0,0,0,0,0,33408866.206869,177973944.838919,0,0,0,0,8039324.956972,0,0,91024035.698576,0,0,0,0,0,0,0,8764819.625838,108105153.395208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245031569629.028107
2021-07-01,170757196140.298706,89823933271.371445,0,9867061291.437765,0,0,0,0,6038850206.793979,128369528.666608,0,0,0,0,0,0,0,72436072.259662,183906409.666883,0,0,0,0,109206359.033602,0,0,74628721.388956,0,0,0,0,0,0,0,9079351.163800,54543804.139421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277119211156.220886
2021-08-01,224963031161.095367,122523453092.746429,0,12705277569.106588,0,0,0,1036085008.873096,5174411542.794338,143439061.593198,0,0,0,0,0,0,0,150975175.408290,183906409.666883,0,0,0,0,125758110.999404,0,0.000000,113154576.903568,0,0,0,0,0,0,0,9085684.734413,42931540.885361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367171508934.806885
2021-09-01,226405522810.366150,130592882030.381836,0,10850268568.540400,0,0,0,5415226756.272709,5810120676.008643,126325168.024532,0,0,0,0,0,0,0,230440936.588770,177973944.838919,0,0,0,0,122044152.603194,3408554.266985,654775838.748314,114170459.776279,0,0,0,0,0,0,0,8792665.863380,29143351.613281,0,0,0,0,0,0,0,4957691.132968,0,0,0,0,0,0,0,380546053605.026428
2021-10-01,222702924460.993500,105986930211.584015,0,11272804334.854042,0,0,0,7758248516.257910,6427440305.187498,108908465.240773,0,0,0,12978883247.326508,0,0,0,258521265.286448,183906409.666883,0,0,0,0,126115258.701838,139490423.041099,718484739.545251,204513459.012881,0,0,241535212.314462,0,0,0,0,9108911.341210,28659916.421344,0,0,1723101.544215,0,0,0,0,41971548.521433,0,0,0,0,0,0,0,369190169786.841248
2021-11-01,192929019391.694977,106536232222.285095,0,10227250385.439205,0,0,0,14435070212.448885,7441740372.396194,98302565.391086,0,0,0,16914220428.723366,22967625956.108818,0,0,284043344.232763,177973944.838919,0,0,0,0,122043339.887895,103531750.861938,564135646.575422,115572590.274816,0,9372678.728170,966201345.988821,0,0,0,0,9145607.999369,26954497.898790,0,0,2696318.592598,0,0,0,0,21073591.228376,0,0,0,0,0,0,0,373952206191.595703
2021-12-01,210587597032.321838,100793024140.886551,0,10122341111.574480,0,0,0,19814170807.114567,5791881413.013806,64987037.747920,0,0,0,13185040333.107981,12710253944.494154,0,0,275308301.063824,183906409.666883,0,0,0,0,126109956.290969,103599451.483414,480032443.075512,87568331.293605,0,50428812.286709,515292785.249872,0,0,0,0,9464194.157264,18520641.844212,0,0,2347324.695159,0,0,0,0,2157510.427133,0,0,0,0,83134.432693,0,0,374924115116.228394
2022-01-01,200177273938.735809,77593837956.557495,0,9245235918.178835,0,0,0,14887278486.362984,5074269721.663270,33320733.635830,0,0,0,8530898545.617293,4085618441.195883,0,0,265336028.903209,183906409.666883,0,0,0,0,126109956.290969,112601789.517411,172516752.256702,73484955.828067,85989564.372350,46377161.092725,174378844.582848,0,0,0,0,9456160.842411,11714552.884259,0,0,2619688.234173,0,0,0,0,100481.718716,0,0,0,0,356923.708013,0,0,320892683011.846069
2022-02-01,140136097250.605438,54433047620.228989,0,7426336557.811751,0,0,0,10093529056.858679,3575047568.479973,19568678.721875,0,0,0,6228533982.057047,2336171656.852417,0,0,228003081.342219,166109015.182991,0,0,0,0,113905766.972488,131137385.055678,50594939.183556,61040326.913301,158903192.072702,158231539.594613,91425043.989383,0,0,6646270.690676,0,8536720.421060,8731202.051759,0,0,2565198.967316,0,0,0,0,39256.389425,0,0,0,0,324243.800921,0,0,225434525554.244202
2022-03-01,123574062859.821045,63945256459.227219,0,8955980958.954899,0,0,0,9312744254.280886,2993231587.273774,21068727.414140,0,0,0,5650738368.021667,905022812.376577,0,0,250090443.600085,183906409.666883,0,0,0,0,126109956.290969,122316457.455013,57396683.041490,97982124.011773,214175223.103173,294161252.447712,58633165.899043,0,0,164158899.255446,0,9447252.906983,8820186.976116,0,0,2945178.050349,0,0,0,0,51005.875430,0,0,0,0,370038.524606,0,0,216948670304.475311
2022-04-01,151646518223.142120,52504085561.538857,0,9148347106.015860,0,0,0,8218102841.336093,2105529253.619915,21974412.242634,0,0,0,4469399406.297344,167485103.806701,0,0,267100810.481821,177973944.838919,0,0,0,0,122041893.184809,58597421.341647,80756505.838228,121412759.743270,216502287.011155,380367038.597110,37196001.957072,0,0,272281291.302699,0,9140390.375296,5760328.007327,0,0,3385877.609936,0,0,0,0,45677.270293,0,0,0,0,361912.367408,0,0,230034366047.926483
2022-05-01,113821317801.648590,28539129395.649628,0,5782613822.803900,0,0,0,2909304227.300499,1628733955.481678,14974560.797214,0,0,0,1677328104.808234,100694331.360154,0,0,502965016.768782,183906409.666883,0,0,0,0,126109956.290969,18397676.927646,166411488.152885,102056881.584734,202565969.474586,211506379.997083,22848816.366860,0,1502.873266,284496080.020521,12.003107,9445068.881652,5372597.675733,0,0,4077215.365912,0,0,0,0,58149.622567,0,0,0,0,183575.792839,0,0,156314498997.315857
2022-06-01,103030047928.072617,18603204258.877506,0,3957783156.248521,0,0,0,1584251706.224049,842564667.563620,9382011.340289,0,0,0,385970520.379255,99601567.040861,0,0,606954249.236046,177973944.838919,0,0,0,0,122041893.184809,5976512.616420,144428464.949645,87313759.637011,154184280.703274,123281043.702536,10706950.632484,0,196052.609970,169901567.168317,1527560.785539,9140375.859354,3618641.769601,0,0,4389831.459972,0,0,0,0,84498.026718,0,0,0,0,63278.241220,0,0,130134588721.168564
