day,tron,bsc,solana,ethereum,polygon,arbitrum,base,optimism,celo,avalanche,stellar,aptos,worldchain,ton,sui,plasma,linea,hyperevm,stable,codex,total
2017-11-01,0,0,0,7.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.000000
2017-12-01,0,0,0,23.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.000000
2018-01-01,0,0,0,337.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.000000
2018-02-01,0,0,0,985.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985.000000
2018-03-01,0,0,0,1090.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090.000000
2018-04-01,0,0,0,2176.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176.000000
2018-05-01,0,0,0,2638.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2638.000000
2018-06-01,0,0,0,2518.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518.000000
2018-07-01,0,0,0,3222.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222.000000
2018-08-01,0,0,0,2580.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580.000000
2018-09-01,0,0,0,5126.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5126.000000
2018-10-01,0,0,0,8793.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8793.000000
2018-11-01,0,0,0,30900.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30900.000000
2018-12-01,0,0,0,48646.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48646.000000
2019-01-01,0,0,0,53781.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53781.000000
2019-02-01,0,0,0,50570.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50570.000000
2019-03-01,0,0,0,58562.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58562.000000
2019-04-01,2081.000000,0,0,116474.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118555.000000
2019-05-01,5807.000000,0,0,235898.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241705.000000
2019-06-01,4864.000000,0,0,466426.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471290.000000
2019-07-01,10193.000000,0,0,889719.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899912.000000
2019-08-01,5259.000000,0,0,2068743.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074002.000000
2019-09-01,4809.000000,0,0,3514251.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3519060.000000
2019-10-01,36084.000000,0,0,2031659.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067743.000000
2019-11-01,63155.000000,0,0,2203469.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266624.000000
2019-12-01,85221.000000,0,0,1931086.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016307.000000
