CHAIN,a. < $100,b. $100 - $1k,c. $1k - $10k,d. $10k - $100k,e. $100k - $1M,f. $1M - $10M,g. > $10M,total
arbitrum,11470383.000000,9321588.000000,5713709.000000,610664.000000,57610.000000,4944.000000,80.000000,27178978.000000
base,9048336.000000,3060359.000000,1353266.000000,866672.000000,186134.000000,4250.000000,103.000000,14519120.000000
optimism,7307708.000000,1602659.000000,682052.000000,150851.000000,16565.000000,376.000000,8.000000,9760219.000000
ethereum,2694167.000000,2469887.000000,2115211.000000,960024.000000,289474.000000,67323.000000,7815.000000,8603901.000000
